"rules","support","confidence","coverage","lift","count"
"{Professional_Yes,Support_Group_No} => {Political_No}",0.228251507321275,0.883333333333333,0.258397932816538,0.974857414448669,795
"{Political_No,Professional_Yes} => {Support_Group_No}",0.228251507321275,0.831589958158996,0.274476026414011,0.988541919545318,795
"{Family_Yes,Medium} => {Support_Group_No}",0.115991960953201,0.83298969072165,0.13924777490669,0.990205833714507,404
"{Family_Yes,Medium} => {Political_No}",0.124031007751938,0.890721649484536,0.13924777490669,0.983011250048998,432
"{Medium,Religious_Yes} => {Support_Group_No}",0.126902095894344,0.826168224299065,0.153603215618719,0.982096902810118,442
"{Medium,Religious_Yes} => {Political_No}",0.137812230835487,0.897196261682243,0.15360321561872,0.990156710848939,480
"{M,Medium} => {Social_Club_No}",0.15877117427505,0.829085457271364,0.191501579098478,1.02111196876809,553
"{M,Medium} => {Support_Group_No}",0.162790697674419,0.850074962518741,0.191501579098478,1.01051573189514,567
"{M,Medium} => {Political_No}",0.173413723801321,0.905547226386807,0.191501579098478,0.999372937105592,604
"{Medium,No} => {Social_Club_No}",0.166810221073787,0.833572453371593,0.200114843525696,1.02663820901459,581
"{Medium,No} => {Support_Group_No}",0.166236003445306,0.830703012912482,0.200114843525696,0.987487574735213,579
"{Medium,No} => {Political_No}",0.181739879414298,0.908177905308465,0.200114843525696,1.00227618637179,633
"{Medium,Yes} => {Support_Group_No}",0.149296583405111,0.85667215815486,0.174275050244042,1.01835806377248,520
"{Medium,Yes} => {Political_No}",0.156187194946885,0.896210873146623,0.174275050244042,0.98906922407151,544
"{F,Medium} => {Social_Club_No}",0.147286821705426,0.805337519623234,0.18288831467126,0.991863713171048,513
"{F,Medium} => {Support_Group_No}",0.152741889175998,0.835164835164835,0.18288831467126,0.992791508832464,532
"{F,Medium} => {Political_No}",0.164513350559862,0.899529042386185,0.18288831467126,0.992731196017453,573
"{Medium,Religious_No} => {Hobbies_No}",0.197817973011771,0.895968790637191,0.220786678151019,1.2800079154181,689
"{Medium,Religious_No} => {Social_Club_No}",0.205857019810508,0.932379713914174,0.220786678151019,1.14833046094875,717
"{Medium,Religious_No} => {Support_Group_No}",0.188630490956072,0.854356306892068,0.220786678151019,1.01560512522357,657
"{Medium,Religious_No} => {Political_No}",0.200114843525696,0.906371911573472,0.220786678151019,1.00028306971179,697
"{Family_No,Medium} => {Hobbies_No}",0.193798449612403,0.824175824175824,0.235142118863049,1.17744232797555,675
"{Family_No,Medium} => {Social_Club_No}",0.212460522538042,0.903540903540904,0.235142118863049,1.11281222313754,740
"{Family_No,Medium} => {Support_Group_No}",0.199540625897215,0.848595848595849,0.235142118863049,1.00875745414995,695
"{Family_No,Medium} => {Political_No}",0.213896066609245,0.90964590964591,0.235142118863049,1.00389629382025,745
"{Medium,Professional_No} => {Social_Club_No}",0.203847258110824,0.817031070195627,0.249497559575079,1.00626563560515,710
"{Medium,Professional_No} => {Support_Group_No}",0.21648004593741,0.867663981588032,0.249497559575079,1.03142445319833,754
"{Medium,Professional_No} => {Political_No}",0.231696813092162,0.928653624856157,0.249497559575079,1.02487343959886,807
"{Hobbies_No,Medium} => {Social_Club_No}",0.243468274476026,0.913793103448276,0.266436979615274,1.12543896015217,848
"{Hobbies_No,Medium} => {Support_Group_No}",0.2305483778352,0.865301724137931,0.266436979615274,1.0286163498882,803
"{Hobbies_No,Medium} => {Political_No}",0.24059718633362,0.90301724137931,0.266436979615274,0.996580814868231,838
"{Medium,Social_Club_No} => {Support_Group_No}",0.261269020958943,0.853658536585366,0.306057995980477,1.01477565970199,910
"{Medium,Support_Group_No} => {Social_Club_No}",0.261269020958943,0.828025477707006,0.315532586850416,1.01980648474311,910
"{Medium,Social_Club_No} => {Political_No}",0.279356876256101,0.912757973733583,0.306057995980477,1.00733080561282,973
"{Medium,Political_No} => {Social_Club_No}",0.279356876256101,0.826677994902294,0.337927074361183,1.01814690814876,973
"{Medium,Support_Group_No} => {Political_No}",0.291702555268447,0.924476797088262,0.315532586850416,1.02026384165349,1016
"{Medium,Political_No} => {Support_Group_No}",0.291702555268447,0.86321155480034,0.337927074361183,1.02613168783945,1016
"{Family_Yes,Religious_Yes} => {Support_Group_No}",0.184323858742463,0.820971867007673,0.224519092736147,0.975919799586254,642
"{Family_Yes,Religious_Yes} => {Political_No}",0.202985931668102,0.904092071611253,0.224519092736147,0.997767010589986,707
"{Family_Yes,Long} => {Support_Group_No}",0.13465403387884,0.818499127399651,0.164513350559862,0.972980362024909,469
"{Family_Yes,Long} => {Political_No}",0.148435256962389,0.902268760907504,0.164513350559862,0.995754782712559,517
"{Family_Yes,M} => {Support_Group_No}",0.161355153603216,0.837555886736215,0.192650014355441,0.995633840785746,562
"{Family_Yes,M} => {Political_No}",0.171403962101637,0.889716840536513,0.192650014355441,0.981902330668147,597
"{Family_Yes,No} => {Support_Group_No}",0.159345391903531,0.812591508052709,0.196095320126328,0.965957755135694,555
"{Family_Yes,No} => {Political_No}",0.176571920757967,0.900439238653001,0.196095320126328,0.993735699692143,615
"{Family_Yes,Yes} => {Support_Group_No}",0.162503588860178,0.838518518518519,0.193798449612403,0.996778156996587,566
"{Family_Yes,Yes} => {Political_No}",0.172552397358599,0.89037037037037,0.193798449612403,0.982623574144487,601
"{F,Family_Yes} => {Support_Group_No}",0.160493827160494,0.813682678311499,0.19724375538329,0.967254869815342,559
"{F,Family_Yes} => {Political_No}",0.17772035601493,0.901018922852984,0.19724375538329,0.994375446228436,619
"{Family_Yes,Religious_No} => {Hobbies_No}",0.133218489807637,0.805555555555556,0.165374677002584,1.15084085315833,464
"{Family_Yes,Religious_No} => {Social_Club_No}",0.13924777490669,0.842013888888889,0.165374677002584,1.03703478606789,485
"{Family_Yes,Religious_No} => {Support_Group_No}",0.137525122021246,0.831597222222222,0.165374677002584,0.988550554607509,479
"{Family_Yes,Religious_No} => {Political_No}",0.146138386448464,0.883680555555556,0.165374677002584,0.975240613117871,509
"{Family_Yes,Professional_No} => {Support_Group_No}",0.220499569336779,0.849557522123894,0.2595463680735,1.0099006312483,768
"{Family_Yes,Professional_No} => {Political_No}",0.240884295147861,0.928097345132743,0.2595463680735,1.02425952252768,839
"{Family_Yes,Hobbies_No} => {Social_Club_No}",0.165374677002584,0.814710042432815,0.202985931668102,1.00340702892273,576
"{Family_Yes,Hobbies_No} => {Support_Group_No}",0.173987941429802,0.857142857142857,0.202985931668102,1.01891760117016,606
"{Family_Yes,Hobbies_No} => {Political_No}",0.181165661785817,0.892503536067892,0.202985931668102,0.98497776176314,631
"{Family_Yes,Social_Club_No} => {Support_Group_No}",0.221648004593741,0.849284928492849,0.260981912144703,1.00957658905822,772
"{Family_Yes,Social_Club_No} => {Political_No}",0.23542922767729,0.902090209020902,0.260981912144703,0.995557730678011,820
"{Family_Yes,Support_Group_No} => {Political_No}",0.296870513924777,0.922390722569135,0.321848980763709,1.01796162443229,1034
"{Family_Yes,Political_No} => {Support_Group_No}",0.296870513924777,0.850328947368421,0.349124318116566,1.01081765313454,1034
"{Long,Religious_Yes} => {Support_Group_No}",0.143554407120299,0.823723228995058,0.174275050244042,0.979190445935081,500
"{Long,Religious_Yes} => {Political_No}",0.159632500717772,0.915980230642504,0.174275050244042,1.01088692754368,556
"{M,Religious_Yes} => {Support_Group_No}",0.178581682457651,0.848567530695771,0.210450760838358,1.00872379160866,622
"{M,Religious_Yes} => {Political_No}",0.189491817398794,0.900409276944065,0.210450760838358,0.993702633585608,660
"{No,Religious_Yes} => {Support_Group_No}",0.179730117714614,0.835781041388518,0.215044501866207,0.993524016094269,626
"{No,Religious_Yes} => {Political_No}",0.195521102497847,0.909212283044059,0.215044501866207,1.00341773822638,681
"{Religious_Yes,Yes} => {Support_Group_No}",0.169968418030434,0.834978843441467,0.203560149296583,0.992570413551751,592
"{Religious_Yes,Yes} => {Political_No}",0.183175423485501,0.899858956276446,0.203560149296583,0.993095293000906,638
"{F,Religious_Yes} => {Support_Group_No}",0.171116853287396,0.822068965517241,0.208153890324433,0.977223961398141,596
"{F,Religious_Yes} => {Political_No}",0.189204708584554,0.908965517241379,0.208153890324433,1.00314540448407,659
"{Family_No,Religious_Yes} => {Support_Group_No}",0.165374677002584,0.85207100591716,0.194085558426644,1.01288850293838,576
"{Family_No,Religious_Yes} => {Political_No}",0.175710594315245,0.905325443786982,0.194085558426644,0.99912817512993,612
"{Professional_No,Religious_Yes} => {Support_Group_No}",0.254091300602929,0.862573099415205,0.294573643410853,1.02537273217173,885
"{Professional_No,Religious_Yes} => {Political_No}",0.274763135228252,0.932748538011696,0.294573643410853,1.02939263558135,957
"{Hobbies_No,Religious_Yes} => {Support_Group_No}",0.15877117427505,0.883386581469649,0.179730117714614,1.05011449257979,553
"{Hobbies_No,Religious_Yes} => {Political_No}",0.165948894631065,0.92332268370607,0.179730117714614,1.01899014808246,578
"{Religious_Yes,Social_Club_No} => {Support_Group_No}",0.235142118863049,0.866666666666667,0.271317829457364,1.03023890784983,819
"{Religious_Yes,Social_Club_No} => {Political_No}",0.249210450760838,0.918518518518519,0.271317829457364,1.01368821292776,868
"{Religious_Yes,Support_Group_No} => {Political_No}",0.324145851277634,0.926929392446634,0.349698535745047,1.02297055573245,1129
"{Political_No,Religious_Yes} => {Support_Group_No}",0.324145851277634,0.855951478392722,0.378696525983348,1.01750136492896,1129
"{Long,M} => {Social_Club_No}",0.162503588860178,0.813218390804598,0.199827734711456,1.0015698922109,566
"{Long,M} => {Support_Group_No}",0.167671547516509,0.839080459770115,0.199827734711456,0.997446157467341,584
"{Long,M} => {Political_No}",0.182314097042779,0.91235632183908,0.199827734711456,1.00688753769503,635
"{Long,No} => {Social_Club_No}",0.15360321561872,0.806938159879336,0.190353143841516,0.993835081633567,535
"{Long,No} => {Support_Group_No}",0.158196956646569,0.831070889894419,0.190353143841516,0.987924883789168,551
"{Long,No} => {Political_No}",0.171978179730118,0.903469079939668,0.190353143841516,0.997079469401098,599
"{Long,Yes} => {Social_Club_No}",0.188630490956072,0.819201995012469,0.230261269020959,1.00893937363099,657
"{Long,Yes} => {Support_Group_No}",0.194372667240884,0.844139650872818,0.230261269020959,1.00346020613994,677
"{Long,Yes} => {Political_No}",0.209589434395636,0.910224438902743,0.230261269020959,1.00453476574723,730
"{F,Long} => {Social_Club_No}",0.179730117714614,0.814044213263979,0.220786678151019,1.00258698543085,626
"{F,Long} => {Support_Group_No}",0.184898076370945,0.837451235370611,0.220786678151019,0.995509437814279,644
"{F,Long} => {Political_No}",0.199253517082974,0.902470741222367,0.220786678151019,0.995977690645597,694
"{Long,Religious_No} => {Hobbies_No}",0.22107378696526,0.897435897435897,0.246339362618432,1.28210386824005,770
"{Long,Religious_No} => {Social_Club_No}",0.228251507321275,0.926573426573427,0.246339362618432,1.14117936518927,795
"{Long,Religious_No} => {Support_Group_No}",0.209015216767155,0.848484848484849,0.246339362618432,1.00862550418864,728
"{Long,Religious_No} => {Political_No}",0.221935113407982,0.900932400932401,0.246339362618432,0.994279959584142,773
"{Family_No,Long} => {Hobbies_No}",0.209302325581395,0.817264573991031,0.256101062302613,1.16756870845396,729
"{Family_No,Long} => {Social_Club_No}",0.232845248349124,0.909192825112108,0.256101062302613,1.11977320009387,811
"{Family_No,Long} => {Support_Group_No}",0.217915590008613,0.850896860986547,0.256101062302613,1.01149275317957,759
"{Family_No,Long} => {Political_No}",0.233132357163365,0.910313901345291,0.256101062302613,1.00463349758734,812
"{Long,Professional_No} => {Social_Club_No}",0.236577662934252,0.824,0.287108814240597,1.0148486562942,824
"{Long,Professional_No} => {Support_Group_No}",0.24519092736147,0.854,0.287108814240597,1.01518156996587,854
"{Long,Professional_No} => {Political_No}",0.269882285386161,0.94,0.287108814240597,1.03739543726236,940
"{Hobbies_No,Long} => {Social_Club_No}",0.266436979615274,0.90272373540856,0.295147861039334,1.11180578869449,928
"{Hobbies_No,Long} => {Support_Group_No}",0.253229974160207,0.857976653696498,0.295147861039334,1.01990876615184,882
"{Hobbies_No,Long} => {Political_No}",0.270169394200402,0.915369649805447,0.295147861039334,1.01021308310278,941
"{Long,Social_Club_No} => {Support_Group_No}",0.294860752225093,0.861577181208054,0.342233706574792,1.02418884714937,1027
"{Long,Support_Group_No} => {Social_Club_No}",0.294860752225093,0.836319218241042,0.352569623887453,1.03002115881667,1027
"{Long,Social_Club_No} => {Political_No}",0.31237438989377,0.912751677852349,0.342233706574792,1.00732385740169,1088
"{Long,Political_No} => {Social_Club_No}",0.31237438989377,0.818660647103085,0.381567614125754,1.00827264280765,1088
"{Long,Support_Group_No} => {Political_No}",0.328739592305484,0.932410423452769,0.352569623887453,1.02901948824018,1145
"{Long,Political_No} => {Support_Group_No}",0.328739592305484,0.861550037622272,0.381567614125754,1.02415658055917,1145
"{M,No} => {Social_Club_No}",0.199827734711456,0.824644549763033,0.242319839219064,1.01564249180504,696
"{M,No} => {Support_Group_No}",0.202985931668102,0.837677725118483,0.242319839219064,0.995778674603303,707
"{M,No} => {Political_No}",0.218202698822854,0.900473933649289,0.242319839219064,0.993773989512191,760
"{M,Yes} => {Social_Club_No}",0.197530864197531,0.810365135453475,0.243755383290267,0.9980557874061,688
"{M,Yes} => {Support_Group_No}",0.207866781510192,0.852767962308598,0.243755383290267,1.01371700092862,724
"{M,Yes} => {Political_No}",0.222509331036463,0.91283863368669,0.243755383290267,1.00741982291849,775
"{M,Religious_No} => {Hobbies_No}",0.246052253804192,0.892708333333333,0.275624461670973,1.27534992821985,857
"{M,Religious_No} => {Social_Club_No}",0.256675279931094,0.93125,0.275624461670973,1.14693909123055,894
"{M,Religious_No} => {Support_Group_No}",0.232271030720643,0.842708333333333,0.275624461670973,1.00175874573379,809
"{M,Religious_No} => {Political_No}",0.251220212460523,0.911458333333333,0.275624461670973,1.00589650665399,875
"{Family_No,M} => {Social_Club_No}",0.267872523686477,0.912915851272016,0.29342520815389,1.12435852545277,933
